date,weekday,meet,missing_races,usual_weekday,classification
2016-06-24,금,2,3,금·토,통상요일
2016-08-06,토,3,8,금·일,비통상요일
2016-10-22,토,2,1,금·토,통상요일
2016-10-28,금,2,1,금·토,통상요일
2016-11-19,토,2,1,금·토,통상요일
2016-12-31,토,3,15,금·일,비통상요일
2017-03-25,토,2,1,금·토,통상요일
2017-08-05,토,3,8,금·일,비통상요일
2017-12-30,토,3,10,금·일,비통상요일
2018-04-14,토,2,2,금·토,통상요일
2018-04-28,토,2,1,금·토,통상요일
2018-08-04,토,3,8,금·일,비통상요일
2018-09-01,토,2,1,금·토,통상요일
2018-10-06,토,2,1,금·토,통상요일
2018-12-29,토,3,10,금·일,비통상요일
2019-06-07,금,2,6,금·토,통상요일
2019-06-14,금,2,3,금·토,통상요일
2019-08-03,토,3,8,금·일,비통상요일
2019-10-18,금,2,1,금·토,통상요일
2019-11-29,금,3,11,금·일,통상요일
2019-12-28,토,3,10,금·일,비통상요일
2022-02-19,토,2,2,금·토,통상요일
2022-03-18,금,2,1,금·토,통상요일
2022-03-26,토,2,4,금·토,통상요일
2022-05-13,금,2,2,금·토,통상요일
2022-07-15,금,2,1,금·토,통상요일
2022-08-06,토,3,8,금·일,비통상요일
2022-12-24,토,2,1,금·토,통상요일
2023-01-13,금,2,3,금·토,통상요일
2023-01-14,토,2,7,금·토,통상요일
2023-01-15,일,1,2,토·일,통상요일
2023-04-14,금,2,1,금·토,통상요일
2023-04-29,토,2,2,금·토,통상요일
2023-05-05,금,2,1,금·토,통상요일
2023-05-06,토,1,9,토·일,통상요일
2023-05-13,토,2,1,금·토,통상요일
2023-06-02,금,2,1,금·토,통상요일
2023-07-29,토,3,8,금·일,비통상요일
2023-10-09,월,1,10,토·일,비통상요일
2023-10-09,월,2,7,금·토,비통상요일
2023-12-15,금,2,2,금·토,통상요일
2023-12-25,월,1,12,토·일,비통상요일
2024-08-03,토,3,6,금·일,비통상요일
2024-08-10,토,3,9,금·일,비통상요일
2024-09-29,일,1,1,토·일,통상요일
2025-05-03,토,2,3,금·토,통상요일
2025-05-09,금,2,1,금·토,통상요일
2025-05-24,토,2,1,금·토,통상요일
2025-08-02,토,3,5,금·일,비통상요일
2025-08-09,토,3,9,금·일,비통상요일
2025-10-02,목,2,8,금·토,비통상요일
2025-10-02,목,3,8,금·일,비통상요일
2025-10-03,금,1,11,토·일,비통상요일
2025-10-04,토,3,6,금·일,비통상요일
2025-12-13,토,2,1,금·토,통상요일
2025-12-20,토,2,1,금·토,통상요일
2025-12-26,금,3,1,금·일,통상요일
