side,race_id,date,weekday,meet,rc_no,verification
api_only,2025-05-24_2_02,2025-05-24,Saturday,2,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-02_3_01,2025-08-02,Saturday,3,1,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-02_3_02,2025-08-02,Saturday,3,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-02_3_03,2025-08-02,Saturday,3,3,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-02_3_04,2025-08-02,Saturday,3,4,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-02_3_05,2025-08-02,Saturday,3,5,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_01,2025-08-09,Saturday,3,1,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_02,2025-08-09,Saturday,3,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_03,2025-08-09,Saturday,3,3,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_04,2025-08-09,Saturday,3,4,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_05,2025-08-09,Saturday,3,5,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_06,2025-08-09,Saturday,3,6,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_07,2025-08-09,Saturday,3,7,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_08,2025-08-09,Saturday,3,8,confirmed by API artifact and Dropbox metadata checks
api_only,2025-08-09_3_09,2025-08-09,Saturday,3,9,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_01,2025-10-02,Thursday,2,1,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_02,2025-10-02,Thursday,2,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_03,2025-10-02,Thursday,2,3,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_04,2025-10-02,Thursday,2,4,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_05,2025-10-02,Thursday,2,5,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_06,2025-10-02,Thursday,2,6,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_07,2025-10-02,Thursday,2,7,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_2_08,2025-10-02,Thursday,2,8,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_01,2025-10-02,Thursday,3,1,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_02,2025-10-02,Thursday,3,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_03,2025-10-02,Thursday,3,3,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_04,2025-10-02,Thursday,3,4,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_05,2025-10-02,Thursday,3,5,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_06,2025-10-02,Thursday,3,6,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_07,2025-10-02,Thursday,3,7,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-02_3_08,2025-10-02,Thursday,3,8,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_01,2025-10-03,Friday,1,1,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_02,2025-10-03,Friday,1,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_03,2025-10-03,Friday,1,3,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_04,2025-10-03,Friday,1,4,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_05,2025-10-03,Friday,1,5,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_06,2025-10-03,Friday,1,6,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_07,2025-10-03,Friday,1,7,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_08,2025-10-03,Friday,1,8,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_09,2025-10-03,Friday,1,9,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_10,2025-10-03,Friday,1,10,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-03_1_11,2025-10-03,Friday,1,11,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-04_3_01,2025-10-04,Saturday,3,1,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-04_3_02,2025-10-04,Saturday,3,2,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-04_3_03,2025-10-04,Saturday,3,3,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-04_3_04,2025-10-04,Saturday,3,4,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-04_3_05,2025-10-04,Saturday,3,5,confirmed by API artifact and Dropbox metadata checks
api_only,2025-10-04_3_06,2025-10-04,Saturday,3,6,confirmed by API artifact and Dropbox metadata checks
api_only,2025-12-13_2_06,2025-12-13,Saturday,2,6,confirmed by API artifact and Dropbox metadata checks
