year,meet,checkpoint_rows,archive_races,api179_races,matched,archive_only,api_only,payout_mismatch_candidates
2016,1,7283,623,1110,623,0,487,0
2016,2,5535,483,842,483,0,359,1
2016,3,5298,433,807,433,0,374,0
2017,1,7658,1094,1094,1094,0,0,0
2017,2,5838,834,834,834,0,0,0
2017,3,5635,787,805,787,0,18,0
2018,1,7700,1100,1100,1100,0,0,0
2018,2,5705,815,815,815,0,0,0
2018,3,5642,788,806,788,0,18,0
2019,1,7707,1101,1101,1101,0,0,0
2019,2,5586,798,798,798,0,0,0
2019,3,5544,774,792,774,0,18,0
2022,1,6895,985,985,985,0,0,0
2022,2,4795,685,685,685,0,0,0
2022,3,4858,686,694,686,0,8,0
2023,1,7357,1029,1051,1029,0,22,0
2023,2,4879,690,697,690,0,7,0
2023,3,5068,716,724,716,0,8,0
2024,1,7350,1050,1050,1050,0,0,0
2024,2,4865,695,695,695,0,0,0
2024,3,5068,709,724,709,0,15,0
2025,1,7294,1031,1042,1031,0,11,0
2025,2,5005,707,715,707,0,8,0
2025,3,5012,688,716,688,0,28,0
TOTAL,ALL,143577,19301,20682,19301,0,1381,1
