race_id,year,meet,race_no,n_registered,size_band,horse_nums_consecutive,n_keys_3bc,n_keys_3both,cancel_notice,has_cancel_dash,theta_cells_base,theta_cells_all,has_theta_base,has_theta_all,in_year_stratum
2016-06-10_2_01,2016,2,1,10,8to10,1,10,10,강남특급,1,0,133,0,1,1
2016-06-10_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,301,0,1,1
2016-06-10_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,304,0,1,1
2016-06-10_2_04,2016,2,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,550,0,1,1
2016-06-10_2_05,2016,2,5,10,8to10,1,10,10,취소마가 없습니다.,0,4,122,1,1,1
2016-06-10_2_06,2016,2,6,9,8to10,1,9,9,견인불발,1,0,0,0,0,1
2016-06-10_2_07,2016,2,7,10,8to10,1,10,10,힐링타임,1,0,17,0,1,1
2016-06-10_2_08,2016,2,8,10,8to10,1,10,10,취소마가 없습니다.,0,1,223,1,1,1
2016-06-10_3_01,2016,3,1,12,ge11,1,12,12,취소마가 없습니다.,0,9,701,1,1,1
2016-06-10_3_02,2016,3,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,341,0,1,1
2016-06-10_3_03,2016,3,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,195,0,1,1
2016-06-10_3_04,2016,3,4,9,8to10,1,9,9,취소마가 없습니다.,0,0,112,0,1,1
2016-06-10_3_05,2016,3,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,377,0,1,1
2016-06-10_3_06,2016,3,6,11,ge11,1,11,11,취소마가 없습니다.,0,0,346,0,1,1
2016-06-10_3_07,2016,3,7,11,ge11,1,11,11,취소마가 없습니다.,0,0,363,0,1,1
2016-06-10_3_08,2016,3,8,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-10_3_09,2016,3,9,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-10_3_10,2016,3,10,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,0,623,0,1,1
2016-06-11_1_02,2016,1,2,12,ge11,1,12,12,담양리더,1,3,534,1,1,1
2016-06-11_1_03,2016,1,3,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_04,2016,1,4,9,8to10,1,9,9,별빛신화 기절초풍,1,0,0,0,0,1
2016-06-11_1_05,2016,1,5,12,ge11,1,12,12,취소마가 없습니다.,0,7,931,1,1,1
2016-06-11_1_06,2016,1,6,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_07,2016,1,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,390,0,1,1
2016-06-11_1_08,2016,1,8,10,8to10,1,10,10,취소마가 없습니다.,0,0,235,0,1,1
2016-06-11_1_09,2016,1,9,10,8to10,1,10,10,취소마가 없습니다.,0,0,181,0,1,1
2016-06-11_1_10,2016,1,10,9,8to10,1,9,9,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_11,2016,1,11,10,8to10,1,10,10,취소마가 없습니다.,0,0,19,0,1,1
2016-06-11_1_12,2016,1,12,8,8to10,1,8,8,대박이,1,0,0,0,0,1
2016-06-11_2_01,2016,2,1,10,8to10,1,10,10,취소마가 없습니다.,0,0,30,0,1,1
2016-06-11_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,1,118,1,1,1
2016-06-11_2_03,2016,2,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,139,0,1,1
2016-06-11_2_04,2016,2,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,12,0,1,1
2016-06-11_2_05,2016,2,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,422,0,1,1
2016-06-11_2_06,2016,2,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,84,0,1,1
2016-06-11_2_07,2016,2,7,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_2_08,2016,2,8,10,8to10,1,10,10,취소마가 없습니다.,0,0,78,0,1,1
2016-06-11_2_09,2016,2,9,10,8to10,1,10,10,취소마가 없습니다.,0,0,68,0,1,1
2016-06-12_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,6,754,1,1,1
2016-06-12_1_02,2016,1,2,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-12_1_03,2016,1,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,140,0,1,1
2016-06-12_1_04,2016,1,4,9,8to10,1,9,9,취소마가 없습니다.,0,0,107,0,1,1
2016-06-12_1_05,2016,1,5,11,ge11,1,11,11,취소마가 없습니다.,0,0,314,0,1,1
2016-06-12_1_06,2016,1,6,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-12_1_07,2016,1,7,10,8to10,1,10,10,취소마가 없습니다.,0,0,54,0,1,1
2016-06-12_1_08,2016,1,8,11,ge11,1,11,11,당대걸작,1,0,26,0,1,1
2016-06-12_1_09,2016,1,9,12,ge11,1,12,12,취소마가 없습니다.,0,0,527,0,1,1
2016-06-12_1_10,2016,1,10,10,8to10,1,10,10,취소마가 없습니다.,0,0,125,0,1,1
2016-06-12_3_01,2016,3,1,11,ge11,1,11,11,취소마가 없습니다.,0,0,532,0,1,1
2016-06-12_3_02,2016,3,2,12,ge11,1,12,12,취소마가 없습니다.,0,0,646,0,1,1
2016-06-12_3_03,2016,3,3,12,ge11,1,12,12,취소마가 없습니다.,0,0,474,0,1,1
2016-06-12_3_04,2016,3,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,631,0,1,1
2016-06-12_3_05,2016,3,5,9,8to10,1,9,9,취소마가 없습니다.,0,0,149,0,1,1
2016-06-12_3_06,2016,3,6,11,ge11,1,11,11,취소마가 없습니다.,0,0,238,0,1,1
2016-06-17_2_01,2016,2,1,8,8to10,1,8,8,취소마가 없습니다.,0,0,34,0,1,1
2016-06-17_2_02,2016,2,2,10,8to10,1,10,10,산도롱,1,0,127,0,1,1
2016-06-17_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,104,0,1,1
