race_id,row,col,exacta,exacta_reverse,quinella_place,verdict
2016-06-10_2_05,1,6,9999.9,9999.9,63.1,bet placed
2016-06-10_2_05,6,1,9999.9,9999.9,63.1,bet placed
2016-06-10_2_05,9,5,9999.9,4032.1,32.1,bet placed
2016-06-10_2_05,9,6,9999.9,1619.7,54.2,bet placed
2016-06-10_2_08,9,2,9999.9,1322.4,91.6,bet placed
2016-06-10_3_01,2,4,9999.9,6416.4,379.3,bet placed
2016-06-10_3_01,2,8,9999.9,9999.9,553.7,bet placed
2016-06-10_3_01,4,8,9999.9,9624.6,1396.0,bet placed
2016-06-10_3_01,4,11,9999.9,9999.9,520.7,bet placed
2016-06-10_3_01,6,4,9999.9,5938.6,287.1,bet placed
2016-06-10_3_01,7,4,9999.9,7156.7,397.6,bet placed
2016-06-10_3_01,8,2,9999.9,9999.9,553.7,bet placed
2016-06-10_3_01,10,2,9999.9,8860.7,403.8,bet placed
2016-06-10_3_01,11,4,9999.9,9999.9,520.7,bet placed
2016-06-11_1_02,8,10,9999.9,7136.4,499.7,bet placed
2016-06-11_1_02,9,10,9999.9,9999.9,395.7,bet placed
2016-06-11_1_02,10,9,9999.9,9999.9,395.7,bet placed
2016-06-11_1_05,1,9,9999.9,9999.9,887.2,bet placed
2016-06-11_1_05,4,1,9999.9,3187.0,220.8,bet placed
2016-06-11_1_05,6,1,9999.9,8787.6,629.0,bet placed
2016-06-11_1_05,7,1,9999.9,7355.7,268.5,bet placed
2016-06-11_1_05,9,1,9999.9,9999.9,887.2,bet placed
2016-06-11_1_05,10,1,9999.9,4993.0,248.4,bet placed
2016-06-11_1_05,10,3,9999.9,4073.4,248.4,bet placed
2016-06-12_1_01,2,10,9999.9,9999.9,611.7,bet placed
2016-06-12_1_01,4,10,9999.9,6886.6,578.9,bet placed
2016-06-12_1_01,6,10,9999.9,4615.9,354.4,bet placed
2016-06-12_1_01,9,10,9999.9,9999.9,434.8,bet placed
2016-06-12_1_01,10,2,9999.9,9999.9,611.7,bet placed
2016-06-12_1_01,10,9,9999.9,9999.9,434.8,bet placed
2016-06-17_2_05,1,9,9999.9,4130.4,86.2,bet placed
2016-06-17_2_05,4,6,9999.9,9999.9,36.5,bet placed
2016-06-17_2_05,6,4,9999.9,9999.9,36.5,bet placed
2016-06-17_2_05,6,9,9999.9,5782.6,53.9,bet placed
2016-06-17_2_05,9,5,9999.9,1577.1,70.7,bet placed
2016-06-17_2_07,1,7,9999.9,3042.2,309.4,bet placed
